type,id,time,travelTime,carsInSegment,score
match,'003002,1267978148.187,55.811,0,0.15
match,'002001,1267978243.164,52.326,0,0.26
match,'003002,1267978437.436,60.270,0,0.10
match,'002001,1267978453.546,54.808,3,0.14
match,'002001,1267978458.187,20.751,2,0.15
match,'002001,1267978472.612,18.602,0,0.17
match,'003002,1267978561.045,67.504,1,0.05
match,'003002,1267978631.914,57.561,1,0.11
match,'003002,1267978704.920,101.959,3,0.05
match,'003002,1267978748.659,68.454,2,0.04
match,'002001,1267978750.764,45.844,2,0.22
match,'002001,1267978864.788,15.797,0,0.16
match,'002001,1267978984.022,13.800,0,0.29
match,'003002,1267979030.367,54.617,0,0.19
match,'003002,1267979179.421,6.052,1,0.27
match,'002001,1267979186.936,14.687,1,0.14
match,'002001,1267979239.824,60.403,2,0.23
match,'002001,1267979243.749,15.750,1,0.27
match,'003002,1267979321.445,102.983,1,0.05
match,'002001,1267979334.257,63.695,5,0.11
match,'002001,1267979439.367,28.145,4,0.19
match,'003002,1267979440.863,62.558,0,0.07
match,'002001,1267979441.601,24.731,4,0.28
match,'002001,1267979536.975,17.811,1,0.10
match,'003002,1267979602.195,74.233,4,0.04
match,'003002,1267979619.960,63.336,3,0.05
match,'003002,1267979622.226,63.219,2,0.18
match,'003002,1267979624.226,63.420,1,0.08
match,'002001,1267979649.093,12.320,1,0.11
match,'003002,1267979697.893,81.550,3,0.13
match,'003002,1267979700.566,46.137,1,0.22
match,'003002,1267979892.828,76.006,3,0.25
match,'003002,1267979895.335,74.274,2,0.17
match,'003002,1267979916.647,54.959,1,0.05
match,'003002,1267979918.269,54.176,0,0.05
match,'002001,1267979939.460,62.024,7,0.25
match,'002001,1267979947.284,30.637,2,0.27
match,'003002,1267980002.429,55.643,2,0.21
match,'003002,1267980009.679,59.148,1,0.21
match,'002001,1267980027.390,63.277,4,0.19
match,'003002,1267980027.635,70.033,1,0.16
match,'002001,1267980052.397,14.214,0,0.27
match,'003002,1267980104.034,93.051,5,0.23
match,'003002,1267980116.807,64.462,4,0.24
match,'003002,1267980128.796,70.654,3,0.11
match,'003002,1267980142.496,82.213,2,0.13
match,'002001,1267980146.484,17.688,1,0.20
match,'003002,1267980211.957,92.737,1,0.20
match,'002001,1267980228.858,15.499,1,0.26
match,'002001,1267980318.421,15.324,1,0.28
match,'003002,1267980319.975,64.765,2,0.10
match,'003002,1267980324.257,63.904,2,0.22
match,'002001,1267980341.242,16.985,0,0.21
match,'003002,1267980362.495,91.824,7,0.19
match,'003002,1267980371.006,47.672,6,0.17
match,'003002,1267980398.776,57.987,4,0.06
match,'003002,1267980420.452,65.732,1,0.18
match,'003002,1267980480.459,76.021,4,0.08
match,'003002,1267980503.613,60.293,4,0.11
match,'003002,1267980505.401,60.495,3,0.07
match,'003002,1267980507.901,60.307,2,0.21
match,'002001,1267980522.655,151.649,12,0.19
match,'002001,1267980524.578,19.177,2,0.18
match,'003002,1267980578.561,123.319,1,0.15
match,'003002,1267980619.191,136.456,1,0.26
match,'003002,1267980657.546,70.154,3,0.20
match,'003002,1267980704.690,65.347,2,0.15
match,'003002,1267980715.385,69.555,2,0.24
match,'002001,1267980807.617,69.278,2,0.23
match,'002001,1267980810.264,15.371,0,0.26
match,'003002,1267980918.846,61.157,1,0.06
match,'002001,1267980920.253,90.419,5,0.24
match,'002001,1267980924.535,53.782,2,0.16
match,'002001,1267981018.859,16.880,0,0.26
match,'003002,1267981083.534,61.675,1,0.04
match,'003002,1267981187.601,110.178,9,0.29
match,'003002,1267981196.647,62.162,5,0.07
match,'003002,1267981284.671,84.373,2,0.04
match,'002001,1267981308.171,18.930,3,0.11
match,'002001,1267981313.453,17.746,1,0.21
match,'003002,1267981377.022,55.865,3,0.16
match,'003002,1267981390.030,65.380,3,0.16
match,'002001,1267981410.545,80.428,4,0.13
match,'003002,1267981487.207,60.996,2,0.05
match,'002001,1267981503.916,77.717,2,0.29
match,'003002,1267981585.916,57.258,3,0.09
match,'002001,1267981600.448,32.866,2,0.12
match,'003002,1267981601.791,70.571,2,0.04
match,'003002,1267981686.424,64.612,1,0.09
match,'002001,1267981719.195,117.404,4,0.23
match,'003002,1267981735.214,6.314,2,0.22
match,'002001,1267981795.289,63.125,5,0.20
match,'002001,1267981810.085,16.945,0,0.15
match,'003002,1267981857.156,118.446,5,0.13
match,'002001,1267981896.605,68.098,9,0.18
match,'002001,1267981906.609,42.172,6,0.12
match,'002001,1267981908.523,38.281,4,0.08
match,'003002,1267981970.441,94.505,5,0.11
match,'003002,1267981974.695,54.921,3,0.06
match,'002001,1267981988.699,25.211,3,0.17
match,'003002,1267982055.070,118.320,9,0.20
match,'003002,1267982065.507,58.170,6,0.25
match,'003002,1267982083.355,67.824,3,0.04
match,'002001,1267982101.089,46.019,4,0.24
match,'003002,1267982120.269,92.314,2,0.18
match,'002001,1267982178.500,56.379,3,0.28
match,'003002,1267982245.940,74.274,8,0.08
match,'003002,1267982267.160,50.191,5,0.07
match,'002001,1267982273.913,33.965,5,0.11
match,'002001,1267982276.453,34.630,4,0.27
match,'002001,1267982277.675,27.821,2,0.20
match,'003002,1267982281.472,60.049,3,0.10
match,'003002,1267982292.882,65.982,2,0.13
match,'002001,1267982313.991,17.645,1,0.17
match,'003002,1267982344.859,53.742,5,0.17
match,'003002,1267982361.788,55.724,4,0.07
match,'003002,1267982376.804,65.295,3,0.14
match,'003002,1267982378.944,62.450,2,0.18
match,'003002,1267982381.140,62.696,1,0.03
match,'002001,1267982383.058,72.196,8,0.22
match,'002001,1267982387.777,42.918,5,0.06
